Nama_Produk,Cicilan_Produk_Perbulan,Harga_Produk,Link_Produk
FUJIFILM LTO-8 Data Cartridge (12TB - 30TB) with Barium Ferrite Technology,108250.0,1299000.0,https://www.bhinneka.com//fujifilm-lto-8-data-cartridge-12tb-30tb-with-barium-ferrite-technology-sku3340790290
HP LTO5 Ultrium RW Bar Code Label Pack Q2011A,79833.0,958000.0,https://www.bhinneka.com//hp-lto5-ultrium-rw-bar-code-label-pack-q2011a-skusku03116701
DELL EqualLogic PS6610ES,157712500.0,1892550000.0,https://www.bhinneka.com//dell-equallogic-ps6610es-sku3321626291
HPE MSA 2060 R0Q74A (7.2TB),16583333.0,199000000.0,https://www.bhinneka.com//hpe-msa-2060-r0q74a-7-2tb-sku3336798255
HPE Nimble Storage AF40 All Flash Dual Controller 10GBASE-T 2-port (23TB),476879583.0,5722555000.0,https://www.bhinneka.com//hpe-nimble-storage-af40-all-flash-dual-controller-10gbase-t-2-port-23tb-sku3333114777
"DELL EMC ME4024 Storage Array (Dual Controller, 12 x 900GB)",24273708.0,291284500.0,https://www.bhinneka.com//dell-emc-me4024-storage-array-dual-controller-12-x-900gb-sku3332967919
TANDBERG RDX 1.0TB Cartridge (single) [8586-RDX],495333.0,5944000.0,https://www.bhinneka.com//tandberg-rdx-1-0tb-cartridge-single-8586-rdx-sku3338219014
Overland Tandberg NEOs T24 2u/24-slot/1-LTO7 FC [OV-NEOsT247FC],17221750.0,206661000.0,https://www.bhinneka.com//overland-tandberg-neos-t24-2u-24-slot-1-lto7-fc-ov-neost247fc-sku3338219208
TANDBERG RDX 4TB Cartridge (Single) [8824-RDX],957833.0,11494000.0,https://www.bhinneka.com//tandberg-rdx-4tb-cartridge-single-8824-rdx-sku3338218335
HPE MSA 2060 12Gb SAS SFF Storage [R0Q78A],11616417.0,139397000.0,https://www.bhinneka.com//hpe-msa-2060-12gb-sas-sff-storage-r0q78a-sku3338383526
HPE MSA 2060 10GbE iSCSI SFF Storage [R0Q76A],11708083.0,140497000.0,https://www.bhinneka.com//hpe-msa-2060-10gbe-iscsi-sff-storage-r0q76a-sku3338385175
LENOVO ThinkSystem DE4000H iSCSI Hybrid Flash Array SFF [7Y75A001WW],11957542.0,143490500.0,https://www.bhinneka.com//lenovo-thinksystem-de4000h-iscsi-hybrid-flash-array-sff-7y75a001ww-sku3328192415
LENOVO ThinkSystem DE4000H SAS Hybrid Flash Array SFF [7Y75A000WW],11586208.0,139034500.0,https://www.bhinneka.com//lenovo-thinksystem-de4000h-sas-hybrid-flash-array-sff-7y75a000ww-sku3328192221
LENOVO ThinkSystem DE4000H FC Hybrid Flash Array SFF [7Y75A002WW],11837625.0,142051500.0,https://www.bhinneka.com//lenovo-thinksystem-de4000h-fc-hybrid-flash-array-sff-7y75a002ww-sku3328192512
LENOVO ThinkSystem DE4000H SAS Hybrid Flash Array LFF [7Y74A000WW],11769917.0,141239000.0,https://www.bhinneka.com//lenovo-thinksystem-de4000h-sas-hybrid-flash-array-lff-7y74a000ww-sku3328193870
